time,par,"(0.0135,0.0138]","(0.0138,0.0141]","(0.0141,0.0144]","(0.0144,0.0148]","(0.0148,0.0151]","(0.0151,0.0155]","(0.0155,0.0158]","(0.0158,0.0162]","(0.0162,0.0166]","(0.0166,0.017]","(0.017,0.0174]","(0.0174,0.0178]","(0.0178,0.0182]","(0.0182,0.0186]","(0.0186,0.019]","(0.019,0.0195]","(0.0195,0.0199]","(0.0199,0.0204]","(0.0204,0.0209]","(0.0209,0.0214]","(0.0214,0.0219]","(0.0219,0.0224]","(0.0224,0.0229]","(0.0229,0.0235]","(0.0235,0.024]","(0.024,0.0246]","(0.0246,0.0251]","(0.0251,0.0257]","(0.0257,0.0263]","(0.0263,0.0269]","(0.0269,0.0276]","(0.0276,0.0282]","(0.0282,0.0289]","(0.0289,0.0295]","(0.0295,0.0302]","(0.0302,0.0309]","(0.0309,0.0317]","(0.0317,0.0324]","(0.0324,0.0332]","(0.0332,0.0339]","(0.0339,0.0347]","(0.0347,0.0355]","(0.0355,0.0364]","(0.0364,0.0372]","(0.0372,0.0381]","(0.0381,0.039]","(0.039,0.0399]","(0.0399,0.0408]","(0.0408,0.0418]","(0.0418,0.0428]","(0.0428,0.0438]","(0.0438,0.0448]","(0.0448,0.0458]","(0.0458,0.0469]","(0.0469,0.048]","(0.048,0.0491]","(0.0491,0.0503]","(0.0503,0.0514]","(0.0514,0.0526]","(0.0526,0.0539]","(0.0539,0.0551]","(0.0551,0.0564]","(0.0564,0.0577]","(0.0577,0.0591]","(0.0591,0.0605]","(0.0605,0.0619]","(0.0619,0.0633]","(0.0633,0.0648]","(0.0648,0.0663]","(0.0663,0.0679]","(0.0679,0.0695]","(0.0695,0.0711]","(0.0711,0.0728]","(0.0728,0.0745]","(0.0745,0.0762]","(0.0762,0.078]","(0.078,0.0798]","(0.0798,0.0817]","(0.0817,0.0836]","(0.0836,0.0855]","(0.0855,0.0875]","(0.0875,0.0896]","(0.0896,0.0917]","(0.0917,0.0938]","(0.0938,0.096]","(0.096,0.0982]","(0.0982,0.101]","(0.101,0.103]","(0.103,0.105]","(0.105,0.108]","(0.108,0.11]","(0.11,0.113]","(0.113,0.116]","(0.116,0.118]","(0.118,0.121]","(0.121,0.124]","(0.124,0.127]","(0.127,0.13]","(0.13,0.133]","(0.133,0.136]"
2015-07-28T21:51:24Z,2215.07,0,59.635,228.601,457.201,646.045,1282.151,1192.699,1679.717,1431.238,1868.561,1967.953,2146.858,2136.919,2514.606,2335.702,3011.564,2713.39,3250.104,3299.8,3548.279,4164.506,4114.811,3856.393,4572.012,3568.157,4552.133,3796.758,4393.107,4204.263,3796.758,4234.08,3786.818,4164.506,3260.043,4313.594,3846.453,3528.4,3349.496,3617.853,2991.686,3061.26,3419.07,3458.826,3041.382,3061.26,3309.739,2812.781,2613.998,3110.956,2673.633,2782.964,2703.45,2484.789,2405.276,1749.291,1749.291,1709.535,1361.664,1113.185,1033.672,884.585,675.863,407.505,566.532,506.897,228.601,218.661,258.418,139.148,188.844,208.722,119.27,168.966,89.452,119.27,49.696,69.574,69.574,29.817,39.757,29.817,49.696,9.939,9.939,19.878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-28T21:54:25Z,1679.67,0,29.458,196.389,481.154,667.723,1433.641,1099.78,1531.836,1718.406,1679.128,1777.323,2268.296,1855.878,2297.754,2248.657,2778.908,2376.31,3210.964,3289.52,3741.215,3878.687,4232.188,3672.479,4752.619,3819.771,4418.758,3701.937,4183.091,3701.937,3613.562,4664.244,3554.645,4104.535,3377.895,3770.673,3672.479,4016.16,3544.826,3505.548,2886.922,3063.672,3073.491,3161.867,2759.269,3417.173,3260.061,2769.088,2857.463,2945.838,2719.991,2857.463,2356.671,1983.531,2278.115,2052.267,1708.586,1580.933,1335.447,1040.863,1040.863,942.668,736.46,481.154,402.598,373.14,324.042,274.945,216.028,255.306,225.848,78.556,108.014,78.556,88.375,98.195,49.097,0,9.819,39.278,49.097,29.458,29.458,29.458,9.819,9.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-28T21:57:25Z,2292.75,0,49.447,148.342,415.356,632.924,1453.747,1058.17,1503.195,2017.445,1967.998,2066.893,2086.671,2106.45,1938.33,2254.792,2680.038,2492.138,3214.067,3253.625,3807.434,3757.986,3955.775,3688.76,4173.343,3837.102,4400.8,3846.991,4420.579,4173.343,4015.112,4272.237,3411.856,4222.79,3322.851,4163.453,3451.414,3916.217,2927.274,3926.107,2927.274,3471.193,3154.731,3293.183,3085.505,3253.625,3115.173,2887.716,2531.696,3125.062,2956.942,2818.49,2502.028,1799.878,2541.586,1977.888,1631.757,1869.104,1453.747,1166.954,1117.507,919.718,583.477,672.482,553.809,356.02,227.457,286.794,276.904,207.678,227.457,128.563,158.231,118.673,79.116,69.226,69.226,49.447,59.337,29.668,29.668,49.447,19.779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-28T22:00:25Z,2269.57,0,59.727,149.317,437.997,477.815,1313.991,1134.81,1562.853,1582.762,1751.988,1562.853,2329.348,1921.214,2020.759,2050.622,3006.252,2438.847,3016.207,3085.888,3543.794,3623.43,3792.656,3941.973,4200.79,3713.02,4798.058,3693.111,4200.79,4340.152,4141.063,4559.151,3722.975,4151.017,3474.113,3633.384,3683.157,3792.656,3215.296,3663.248,3036.116,3095.843,3563.703,3304.887,2618.028,3334.75,3155.569,2876.844,2986.343,3314.841,2886.799,2946.525,2339.302,2140.213,2399.029,2140.213,1901.305,1632.534,1542.944,975.539,1104.947,846.131,786.404,418.088,388.225,358.361,348.407,368.316,408.134,209.044,89.59,189.135,159.272,89.59,99.545,49.772,99.545,39.818,39.818,29.863,29.863,39.818,19.909,9.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-28T22:03:25Z,2074.19,0,71.42,173.447,469.328,867.237,1448.797,1234.538,1632.447,1907.922,1775.286,1438.594,2214.006,2071.167,1775.286,2132.384,2989.418,2601.712,3550.572,3438.341,3591.383,3377.124,4234.159,4081.117,4642.271,3458.747,4754.501,3979.089,4581.054,4223.956,3948.481,4764.704,3621.991,3805.642,3183.271,4315.781,3846.453,3846.453,3060.838,3999.495,3173.069,3081.243,3366.922,3815.845,3162.866,3071.041,3591.383,2999.621,2958.81,3132.257,2846.579,2999.621,2469.076,2397.656,2152.789,2081.37,1836.503,1928.328,1173.321,1214.132,1132.51,969.265,836.629,550.951,469.328,459.126,387.706,214.259,316.287,234.664,132.636,142.839,112.231,91.825,91.825,61.217,71.42,20.406,61.217,51.014,40.811,0,20.406,10.203,10.203,30.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-28T22:06:26Z,2061.98,0,61.119,101.865,478.763,682.492,1466.849,1293.68,1507.595,1364.985,1833.562,1884.494,1803.002,1986.358,1986.358,1741.883,2597.546,2536.427,2842.02,3290.224,3942.157,3504.14,3575.445,3443.021,4431.107,3870.852,4451.48,4217.192,4879.311,3881.039,3860.666,4217.192,3687.496,4247.751,3392.089,4410.734,3830.106,3993.09,3249.479,4084.768,2913.326,3371.716,3341.157,3850.479,3259.665,3208.733,3381.902,2882.766,2780.902,3259.665,3096.682,2964.258,2332.698,2393.816,2516.054,2006.731,1853.934,1976.172,1263.12,1273.307,1375.171,804.73,835.289,672.306,651.933,458.39,346.339,285.221,336.153,234.288,213.916,193.543,152.797,152.797,122.237,71.305,81.492,91.678,20.373,40.746,20.373,30.559,40.746,40.746,10.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-28T22:09:26Z,2372.96,0,60.27,231.036,562.522,773.468,1356.08,1014.549,1737.792,1416.351,1757.882,1677.522,2069.278,1828.197,2059.233,2390.72,2903.017,2591.62,2953.242,3344.999,3033.602,3465.539,3817.115,3425.359,4600.629,3616.215,4178.737,3676.485,4500.178,4309.322,3987.881,4540.358,3786.98,3696.575,3626.26,4218.917,3847.251,4028.061,3053.692,3576.034,3164.188,3083.827,3465.539,3294.773,2611.711,3124.008,3083.827,2903.017,2762.386,3063.737,2933.152,2973.332,2762.386,2651.891,2762.386,2240.044,1898.513,2029.098,1416.351,1275.72,1265.675,883.964,773.468,683.063,492.207,492.207,401.802,321.441,261.171,210.946,241.081,130.586,120.54,110.495,160.721,110.495,60.27,70.315,20.09,80.36,30.135,60.27,30.135,30.135,40.18,30.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-28T22:12:26Z,2356.93,0,41.301,144.554,547.238,846.671,1404.234,1218.38,1548.788,1662.365,1744.967,1806.919,1806.919,2044.4,2096.026,2457.41,2953.022,2385.133,3283.43,3014.973,3624.163,3655.139,4016.523,3686.114,4801.242,3789.367,4718.64,3675.789,4687.664,4264.329,4243.678,4966.446,3644.813,4295.304,3717.09,4460.508,3634.488,3964.896,3458.959,3706.765,3304.08,3335.056,3221.478,3366.032,2756.842,3159.527,3448.634,3314.405,2849.769,3551.886,3458.959,2901.395,2880.745,2891.07,2736.191,2199.278,2106.351,1930.822,1497.161,1270.006,1259.681,846.671,887.972,815.695,691.792,454.311,443.986,392.36,258.131,227.156,206.505,134.228,165.204,154.879,165.204,82.602,61.952,72.277,82.602,41.301,20.651,10.325,30.976,20.651,20.651,20.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-28T22:15:26Z,2011.8,0,71.234,162.821,478.287,580.05,1516.272,1190.63,1546.801,1567.154,1618.035,1801.209,1831.738,1892.796,1882.62,2452.494,2879.9,2014.912,3164.837,3022.368,3317.481,3480.303,3775.416,3521.008,4640.404,3215.718,4345.29,3103.779,4508.111,4060.353,3775.416,4691.285,3765.24,4670.932,3358.187,3948.414,3877.179,4243.527,3215.718,3683.829,3470.126,3531.184,3358.187,3744.887,2808.665,3175.013,3999.295,3032.544,2930.781,3012.192,3256.424,2676.373,2757.784,2289.673,2401.612,2289.673,1953.854,1770.68,1628.212,1526.449,1251.688,946.398,875.164,590.227,742.872,590.227,396.877,295.113,254.408,213.703,101.763,234.055,132.292,40.705,162.821,91.587,61.058,20.353,40.705,40.705,20.353,30.529,50.882,10.176,40.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-28T22:18:27Z,2014.11,0,81.769,163.539,490.617,592.829,1011.897,1318.533,1471.851,1594.505,1839.814,1706.938,1778.486,2054.458,2105.564,2800.605,2493.969,2238.44,3372.992,3250.337,3342.328,3403.655,3955.599,3771.618,4895.948,3546.752,4507.543,3710.291,4568.87,3996.484,3669.406,4425.774,4313.341,3700.069,3659.185,4190.686,3464.982,3894.272,3066.356,3740.954,2953.923,3117.462,3597.858,3495.646,2923.259,3495.646,3536.53,2667.73,2974.365,3434.319,3127.683,3025.471,2902.817,2657.508,2320.209,2667.73,2115.786,1982.91,1758.044,1461.63,1298.091,981.234,909.686,725.704,500.838,500.838,296.414,459.953,337.299,265.751,214.645,204.424,143.097,102.212,112.433,81.769,183.981,40.885,71.548,61.327,51.106,40.885,20.442,71.548,30.664,10.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-28T22:21:27Z,1932.08,0,101.457,213.06,527.577,710.199,1197.193,1268.213,1481.273,1765.352,1582.73,1775.498,1582.73,1775.498,1927.684,2029.141,2485.697,2485.697,2972.691,2982.837,3449.539,3550.996,3693.036,3601.725,4393.09,3388.665,4180.03,3764.056,4119.156,4220.613,4443.818,4230.759,3906.096,3682.891,3287.208,4109.01,3784.348,4017.699,3611.871,3632.162,3175.605,3408.957,3378.519,3429.248,3033.566,3094.44,3693.036,2881.38,2861.089,3327.791,3479.976,3043.711,2810.36,2627.737,2850.943,2272.638,2069.724,2211.763,1724.77,1481.273,1268.213,1055.153,933.405,862.385,568.159,497.139,385.537,334.808,253.643,223.205,162.331,111.603,121.748,131.894,81.166,60.874,121.748,81.166,50.729,60.874,20.291,71.02,20.291,10.146,20.291,20.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-28T22:36:35Z,1572.94,0,100.438,167.397,580.308,468.71,1328.012,970.9,1540.048,1316.853,1484.249,1651.646,1640.486,1807.882,1830.202,1919.48,2410.51,2109.196,2901.54,3113.575,3091.256,3314.451,3660.404,3470.688,4553.185,3794.321,4196.073,3894.759,4475.067,3984.037,3626.925,4184.913,3917.079,3604.605,3314.451,3984.037,3972.877,3905.919,3269.812,3738.522,3504.167,3225.173,3359.09,3526.487,3158.214,3325.611,3515.327,3046.617,3214.013,3381.41,3202.853,3035.457,2935.019,2700.664,2667.185,2555.587,2343.551,2443.989,1774.403,1372.651,1740.924,1305.693,1004.379,714.225,770.024,658.426,491.03,513.349,479.87,323.633,223.195,212.036,156.237,200.876,200.876,122.757,100.438,89.278,145.077,55.799,11.16,55.799,66.959,33.479,22.32,11.16,11.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-28T22:39:35Z,1522,0,77.14,220.4,506.921,595.081,1366.482,1124.042,1388.522,1553.822,1432.602,1487.702,1630.962,1708.103,1906.463,1994.623,2644.804,2380.324,3162.745,2920.304,3427.225,3471.305,3471.305,3394.165,4540.247,3548.445,4198.626,3581.505,4496.167,3901.086,4055.366,4363.927,3801.906,4066.386,3416.205,4099.446,3438.245,4033.326,3107.645,3735.786,3328.045,3427.225,3250.905,3482.325,2898.264,3372.125,3812.926,3118.665,2953.364,3515.385,3096.625,3063.565,2743.984,2688.884,2655.824,2721.944,2115.843,2523.584,1719.123,1641.982,1630.962,1157.102,815.481,760.381,815.481,793.441,562.021,418.761,220.4,253.46,231.42,176.32,165.3,176.32,154.28,77.14,99.18,88.16,77.14,44.08,44.08,22.04,44.08,11.02,22.04,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-28T22:42:35Z,1483.04,0,75.515,204.97,517.82,668.851,1477.945,1057.216,1585.824,1477.945,1672.127,1607.4,1823.158,1920.249,1866.31,1833.946,2276.251,2200.735,2934.314,2901.95,3311.891,3279.527,3646.316,3452.134,4476.986,3171.648,3948.378,3797.347,3862.075,3894.438,3840.499,4617.229,3829.711,3732.62,3516.861,3894.438,3872.862,3948.378,3085.344,3808.135,3225.587,3247.163,4142.56,3862.075,3009.829,3236.375,3678.68,3311.891,2858.798,3279.527,3387.406,3182.436,2848.01,2966.677,2945.102,2750.919,2254.675,2686.192,1974.189,1424.005,1521.096,1132.731,916.973,819.882,809.094,647.275,431.517,442.305,323.638,334.425,194.183,161.819,97.091,97.091,97.091,161.819,53.94,64.728,53.94,75.515,21.576,43.152,43.152,21.576,21.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-28T22:45:36Z,1459.35,0,76.377,87.288,425.528,851.056,1211.118,1036.543,1658.468,1614.824,1702.112,1723.934,1527.536,1745.756,1920.331,2182.195,2302.215,1931.242,2738.654,3055.073,3120.539,3033.251,3622.443,3415.135,4222.547,3218.737,4157.081,3371.491,4167.992,4102.526,3982.505,4462.588,3927.951,4069.793,3480.601,3938.862,3840.663,4189.814,3262.381,3404.224,3065.984,3622.443,3556.977,3742.464,3011.429,3262.381,3535.156,3175.093,2891.408,3862.485,3207.826,3491.512,3207.826,3098.717,3033.251,2869.586,2116.729,2684.1,1854.866,2007.619,1800.311,1287.495,1407.516,949.255,960.166,611.015,665.569,425.528,447.35,370.973,250.952,141.843,196.398,130.932,152.754,87.288,54.555,76.377,98.199,87.288,32.733,10.911,21.822,21.822,10.911,21.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-28T22:48:36Z,886.27,0,74.634,138.606,383.831,895.606,1524.662,1364.732,1599.296,1460.69,1641.944,1471.352,1844.521,1833.859,1727.239,1865.845,2516.225,1897.831,2484.239,2825.422,3113.296,2942.704,3550.436,3497.126,4296.774,3635.732,3944.929,3689.042,4072.873,3721.028,4030.225,4488.69,3475.803,4051.549,3635.732,4211.479,3614.408,3806.324,3315.873,3838.31,3187.929,3209.253,3123.958,3561.098,3358.521,3251.901,3518.45,3294.549,2804.098,3411.831,3667.718,3347.859,3017.338,2761.45,3337.197,2718.803,2366.958,2953.366,2100.408,1897.831,1983.127,1524.662,1172.817,1130.169,916.93,671.704,618.394,405.155,351.845,341.183,223.901,298.535,170.592,106.62,149.268,21.324,149.268,42.648,42.648,42.648,53.31,42.648,42.648,31.986,53.31,10.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
